hip,hd,bayer,flam,con,mag,dist
77516,141513,Mu,32,Ser,3.54,52.0021
77578,141680,Ome,34,Ser,5.21,83.8223
77622,141795,Eps,37,Ser,3.71,21.5983
77634,141556,Chi,5,Lup,3.97,59.8444
77635,141637,,1,Sco,4.63,151.7451
77655,142091,Kap,11,CrB,4.79,30.4971
77660,141851,,36,Ser,5.09,49.7512
77661,141992,Rho,38,Ser,4.74,114.9425
77760,142373,Chi,1,Her,4.6,15.8932
77801,142267,,39,Ser,6.07,17.3491
77811,142096,Lam,45,Lib,5.04,94.8767
77840,142114,,2,Sco,4.59,154.0832
77853,142198,The,46,Lib,4.13,51.6529
77907,142780,,2,Her,5.35,200.4008
77909,142301,,3,Sco,5.87,157.9779
77910,142500,,40,Ser,6.28,78.8644
77939,142378,,47,Lib,5.95,236.4066
77942,143803,,17,UMi,6.88,192.3077
77952,141891,Bet,,TrA,2.83,12.3778
77982,141767,Kap,,TrA,5.11,370.3704
77984,142445,,4,Sco,5.63,125.1564
77986,142926,,4,Her,5.73,164.4737
78012,142908,Lam,12,CrB,5.43,41.5628
78072,142860,Gam,41,Ser,3.85,11.2537
78104,142669,Rho,5,Sco,3.87,144.7178
78105,142629,Xi-1,,Lup,5.14,42.3729
78106,142630,Xi-2,,Lup,5.59,46.0617
78132,142980,Phi,,Ser,5.54,73.9645
78159,143107,Eps,13,CrB,4.14,67.8887
78207,142983,,48,Lib,4.95,143.472
78265,143018,Pi,6,Sco,2.89,179.5332
78384,143118,Eta,,Lup,3.42,135.5014
78400,143333,,49,Lib,5.47,35.2113
78401,143275,Del,7,Sco,2.29,150.6024
78436,143459,,50,Lib,5.53,150.1502
78459,143761,Rho,15,CrB,5.39,17.2354
78481,143666,,5,Her,5.1,76.9231
78493,143807,Iot,14,CrB,4.98,95.6023
78527,144284,The,13,Dra,4.01,21.0349
78554,143894,Pi,44,Ser,4.82,54.8847
78592,144206,Ups,6,Her,4.72,113.8952
78639,143546,Eta,,Nor,4.65,67.2948
78662,143474,Iot-1,,Nor,4.63,39.3856
78685,144046,,43,Ser,6.07,110.6195
78820,144217,Bet-1,8,Sco,2.56,123.9157
78821,144218,Bet-2,8,Sco,4.9,122.1001
78914,144197,Del,,Nor,4.73,37.5094
78918,144294,The,,Lup,4.22,127.0648
78933,144470,Ome-1,9,Sco,3.93,144.5087
78990,144608,Ome-2,10,Sco,4.31,89.1266
79005,144708,,11,Sco,5.75,112.3596
79007,144874,,45,Ser,5.63,99.0099
79043,145001,Kap,7,Her,5.0,112.7396
79045,145000,Kap,7,Her,6.25,645.1613
79047,144937,,46,Ser,6.74,114.5475
